date,open,high,low,close,adjusted_close,volume
2024-02-12,192.11,194.73,187.28,188.13,188.13,95498602
2024-02-13,183.99,187.26,182.1087,184.02,184.02,86759477
2024-02-14,185.3,188.89,183.35,188.71,188.71,81202992
2024-02-15,189.16,200.88,188.8595,200.45,200.45,120831797
2024-02-16,202.06,203.17,197.4,199.95,199.95,111346703
2024-02-20,196.13,198.6,189.13,193.76,193.76,104545797
2024-02-21,193.36,199.44,191.95,194.77,194.77,103844000
2024-02-22,194.0,198.32,191.36,197.41,197.41,92739453
2024-02-23,195.31,197.57,191.5,191.97,191.97,78841922
2024-02-26,192.29,201.78,192.0,199.4,199.4,111747102
2024-02-27,204.04,205.6,198.26,199.73,199.73,108645398
2024-02-28,200.42,205.3,198.44,202.04,202.04,99806172
2024-02-29,204.18,205.28,198.4463,201.88,201.88,85906969
2024-03-01,200.52,204.52,198.5,202.64,202.64,82243117
2024-03-04,198.73,199.75,186.72,188.14,188.14,134334891
2024-03-05,183.05,184.59,177.57,180.74,180.74,119660797
2024-03-06,179.99,181.576,173.7,176.54,176.54,107920898
2024-03-07,174.35,180.04,173.7,178.65,178.65,102129000
2024-03-08,181.5,182.73,174.7,175.34,175.34,85544641
2024-03-11,175.445,182.87,174.8,177.77,177.77,85391531
2024-03-12,177.77,179.43,172.4101,177.54,177.54,87391680
2024-03-13,173.05,176.05,169.15,169.48,169.48,106524492
2024-03-14,167.77,171.17,160.51,162.5,162.5,126325695
2024-03-15,163.16,165.1845,160.76,163.57,163.57,97146828
2024-03-18,170.02,174.72,165.9,173.8,173.8,108214398
2024-03-19,172.36,172.82,167.42,171.32,171.32,77271430
2024-03-20,173.0,176.25,170.82,175.66,175.66,83846727
2024-03-21,176.39,178.18,171.8,172.82,172.82,73178008
2024-03-22,166.69,171.2,166.3,170.83,170.83,75580641
2024-03-25,168.76,175.24,168.73,172.63,172.63,74228625
2024-03-26,178.58,184.25,177.38,177.67,177.67,113186203
2024-03-27,181.41,181.91,176.0,179.83,179.83,81804039
2024-03-28,177.45,179.57,175.3,175.79,175.79,77654844
2024-04-01,176.17,176.75,170.21,175.22,175.22,81562125
2024-04-02,164.75,167.69,163.43,166.63,166.63,116650602
2024-04-03,164.02,168.82,163.28,168.38,168.38,82950141
2024-04-04,170.07,177.19,168.01,171.11,171.11,123162000
2024-04-05,169.08,170.86,160.51,164.9,164.9,143157594
2024-04-08,169.34,174.5,167.79,172.98,172.98,104423297
2024-04-09,172.91,179.22,171.92,176.88,176.88,103232703
2024-04-10,173.04,174.93,170.01,171.76,171.76,84532406
2024-04-11,172.55,175.88,168.51,174.6,174.6,94515992
2024-04-12,172.34,173.8099,170.3644,171.05,171.05,64722672
2024-04-15,170.24,170.69,161.38,161.48,161.48,100245297
2024-04-16,156.742,158.19,153.75,157.11,157.11,96999961
2024-04-17,157.64,158.33,153.78,155.45,155.45,82439719
2024-04-18,151.25,152.2,148.7,149.93,149.93,96098828
2024-04-19,148.97,150.94,146.22,147.05,147.05,87074492
2024-04-22,140.56,144.44,138.8025,142.05,142.05,107097602
2024-04-23,143.33,147.26,141.11,144.68,144.68,124545102
2024-04-24,162.84,167.97,157.51,162.13,162.13,181178000
2024-04-25,158.96,170.88,158.36,170.18,170.18,126427508
2024-04-26,168.85,172.12,166.37,168.29,168.29,109815695
2024-04-29,188.42,198.87,184.54,194.05,194.05,243869703
2024-04-30,186.98,190.95,182.8401,183.28,183.28,127031797
2024-05-01,182.0,185.86,179.01,179.99,179.99,92829719
2024-05-02,182.86,184.6,176.02,180.01,180.01,89148039
2024-05-03,182.1,184.78,178.42,181.19,181.19,75491539
2024-05-06,183.8,187.56,182.2,184.76,184.76,84390250
2024-05-07,182.4,183.26,177.4,177.81,177.81,75045852
2024-05-08,171.59,176.06,170.15,174.72,174.72,79969484
2024-05-09,175.01,175.62,171.37,171.97,171.97,65950289
2024-05-10,173.05,173.0599,167.75,168.47,168.47,72627188
2024-05-13,170.0,175.4,169.0,171.89,171.89,67018898
2024-05-14,174.496,179.49,174.07,177.55,177.55,86407422
